"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"ABHD12B /// MIR4454";4.625947829;4.996060113;4.552456767;4.773117677;6.658749716;5.130548998;5.067785101;4.581666053;5.4300368;6.528527564;4.785310945;5.38830552
"ABHD13";5.225849795;5.649917545;7.128739616;7.109204371;7.603216058;6.781373901;7.289320684;7.217170119;7.002606385;7.211715627;6.631778683;7.191758933
"ABHD14A /// ACY1";6.687161532;7.078469332;7.015853543;6.804487081;6.213188246;6.961579973;6.410414933;6.980833564;6.515359516;6.489974503;6.852873022;6.730791898
"ABHD14A-ACY1 /// ACY1";8.574545703;8.56242197;7.484324599;7.579627299;7.210826361;7.345229758;7.16708025;7.551351432;7.794767783;6.778126608;7.199957697;7.490695154
"ABHD14B";9.499770795;9.712815636;8.87056121;9.39244387;7.84857555;8.525526245;8.675415308;9.126440944;8.796081762;7.526325928;9.000626614;8.981270574
"ABHD15";6.820103952;6.835956464;7.35347812;7.40684069;6.468399432;6.567616837;6.228213955;7.485832785;6.303974569;6.157776785;6.653817768;7.020149082
"ABHD16A";8.06987515;7.810454998;8.493002088;8.259958375;8.968249706;8.512549157;8.490971119;8.461801379;8.778735767;9.055951976;8.19801594;8.561847301
"ABHD16B";5.919862655;6.222451431;5.838982784;5.879293897;5.718638149;5.834310908;5.960806165;5.908540768;5.835536682;5.739866863;5.967928905;5.884012687
"ABHD17A";6.776903089;7.105987854;7.591827694;7.224505235;6.705638233;6.695450685;6.668451697;7.750079162;6.688924372;6.181035929;6.829261248;7.00933889
"ABHD17B";9.09753848;8.986033265;9.271823584;8.941524658;9.20207764;9.201530071;8.50359145;9.386138898;8.808473745;9.087614032;8.661021107;8.881200556
"ABHD17C";8.199218191;8.219711682;6.727907139;6.15919481;6.45682094;5.926124668;5.77639388;6.667559482;6.378653623;5.978161439;6.087200401;6.798148583
"ABHD2";8.959095976;8.950653542;9.96999046;9.73254913;9.96123708;9.487034233;9.83132276;10.07345251;9.252805759;9.846906832;9.392042517;10.05276158
